location_code,location_name,admin1_code,admin1_name,admin2_code,admin2_name,provider_admin1_name,provider_admin2_name,admin_level,category,subcategory,hapi_updated_date
AFG,Afghanistan,AF17,Badakhshan,AF1703,Arghanj Khwah,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1702,Argo,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1706,Baharak,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1707,Darayem,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1727,Darwaz-e-Balla,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1722,Darwaz-e-Payin,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1723,Eshkashem,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1701,Fayzabad,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1710,Jorm,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1715,Keshem,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1705,Khash,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1720,Khwahan,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1721,Kofab,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1708,Kohistan,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1726,Koran Wa Monjan,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1714,Raghestan,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1713,Shahr-e-Buzorg,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1724,Shaki,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1719,Shighnan,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1712,Shuhada,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1717,Tagab,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1711,Teshkan,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,,,,,1,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1728,Wakhan,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1716,Warduj,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1704,Yaftal-e-Sufla,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1718,Yamgan,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
AFG,Afghanistan,AF17,Badakhshan,AF1709,Yawan,,,2,affected-people,humanitarian-needs,2026-09-07 01:33:17.350664
